title,genre,director,country,year,imdb_id,imdb_rating
,,,,,,
5 неизвестных,триллер,Симон Бранд,США,2006,tt0450340,
5 причин не влюбиться в казаха,комедийный фильм,Аскар Узабаев,Казахстан,2017,,
5×2,"мелодрама, драма",Франсуа Озон,Франция,2004,tt0354356,
5 недель,трагикомедия,Александр Андреев,Россия,2021,tt15436686,
6 дней,"боевик, триллер",Тоа Фрейзер,"Великобритания, Новая Зеландия",2017,tt4703048,
5-я волна,"постапокалиптика, научная фантастика",Дж. Блэйксон,США,2016,tt2304933,
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди","Израиль, ПНА, Франция, Нидерланды",2011,tt2125423,
5 терапия,"драма, триллер, биография",Алиса Павловская,Украина,2017,tt7607276,
6-й день,киберпанк,Роджер Споттисвуд,США,2000,tt0216216,
4.3.2.1,"триллер, электро-хаус, соул, R’n’B, хип-хоп, грайм",Ноэль Кларк,Великобритания,2010,tt1514041,
4:44. Последний день на Земле,"драма, фантастика",Абель Феррара,США,2011,tt1707391,
4 x 4,"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Финляндия,1965,tt0058864,
4 листа фанеры,детектив,"Иван Гаврилюк, Сайдо Курбанов",Украина,1992,tt6571730,
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,tt0118540,
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,tt0083512,
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007,tt1032846,
5 дней в августе,"военный, боевик, пропагандистский фильм",Ренни Харлин,"США, Грузия",2011,tt1486193,
4 американских композитора,"документальный, музыкальный",Питер Гринуэй,Великобритания,1983,tt0085562,
4 дня в мае,"военная, драма, боевик",Ахим фон Боррис,"Германия, Украина, Россия",2011,tt1699202,
Четыре,драма,Илья Хржановский,"Россия, Нидерланды",2004,tt0445161,
3: История Дейла Эрнхардта,"биографическая, спортивная, драма",Рассел Малкэхи,США,,tt0401088,
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,tt2123884,
2:37,драматический фильм,Мулари К. Теллури,Австралия,2006,tt0472582,
3 идиота,"комедия, драма",Раджкумар Хирани,Индия,2009,tt1187043,
2pac: Легенда,"байопик, драма, боевик",Бенни Бум,США,2017,tt1666185,
2+1,Музыка к фильму,Юго Желен,"Франция, Великобритания",2016,tt5078204,
2 секунды,комедия,Манон Брайан,Канада,1998,tt0158446,
2 Girls 1 Cup,"порнофильм, ЛГБТ-фильм",Марко Фиорито,Бразилия,"5 января, 2007",tt1765847,
2:22,триллер,Пол Карри,"США, Австралия",2017,tt1131724,
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,tt2719860,
42 / Номер 42,"драма, спортивный фильм",Брайан Хелгеленд,США,"12 апреля, 2013, 8 августа, 2013",tt0453562,
42-я улица,"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли",США,1933,tt0024034,
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,tt0417603,
40,"детектив, триллер",Александр Галибин,Россия,2007,tt13374330,
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,tt0052531,
38-я параллель,"драма, боевик, военный",Кан Джегю,Республика Корея,2004,tt0386064,
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,tt1441366,
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,tt0243736,
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977,tt0076661,
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981,tt0081967,
33,драма,Патрисия Ригген,"США, Чили, Колумбия",2015,tt2006295,
,"драма, мелодрама",Дени Вильнёв,Канада,1998,tt0156248,
31-й километр,"ужасы, мистика",Ригоберто Кастаньеда,"Мексика, Испания",2006,tt0460485,
32 декабря,"комедия, фантастика, мелодрама",Александр Муратов,Россия,2004,tt0417390,
30 Rock: A XXX Parody,порнофильм,Ли Рой Майерс,США,2009,tt1499909,
30 свиданий,"комедия, мелодрама",Таисия Игуменцева,Россия,2016,tt5437194,
30 ночей паранормального явления с одержимой девушкой с татуировкой дракона,"комедийный, фильм ужасов",Крэйг Мосс,США,2012,tt2417650,
31,Фильм ужасов,Роб Зомби,США,2016,tt3835080,
31 июня,"музыкальный фильм, мюзикл, фэнтези",Леонид Квинихидзе,СССР,,tt0077114,
29 пальм,"драма, роуд-муви",Брюно Дюмон,"Франция, Германия, США",2003,tt0315110,
30 дней ночи: Тёмные времена,"триллер, фильм ужасов",Бен Кетай,США,2010,tt1320304,
30 дней ночи,фильм о вампирах,Дэвид Слейд,США,"16 октября, 2007, 8 ноября, 2007",tt0389722,
30 безумных желаний,независимый кинематограф,Питер Хатчингс,США,2018,tt4859168,
29-я улица,"комедия, драма",Джордж Галло,США,1991,tt0101252,
30 дней до рассвета,"фильм ужасов, комедия",Андерс Банке,Швеция,2006,tt0454457,
29 Километр,"драма, музыкальный фильм",Леонид Андронов,Россия,2012,tt2153518,
28 недель спустя,"постапокалиптический, фильм ужасов",Хуан Карлос Фреснадильо,"Великобритания, США, Испания, [, ]",2007,tt0463854,
28 лет спустя. Часть II: Костяной храм,"постапокалиптика, фильм ужасов",Ниа Дакоста,,"16 января, 2026",tt32141377,
28 дней спустя,"постапокалиптический, фильм ужасов, Музыка к фильму",Дэнни Бойл,Великобритания,2002,tt0289043,
28 дней,"драма, комедия",Бетти Томас,США,2000,tt0191754,
28 лет спустя,"постапокалиптический, фильм ужасов",Дэнни Бойл,"Великобритания, США",2025,tt10548174,
27-й день,научная фантастика,Уильям Эшер,США,1957,tt0050085,
27 Секунд памяти,документальный,Иван Качалин,"Россия, Чехия, Нидерланды",2019,tt10693092,
27 украденных поцелуев,"комедия, драма, мелодрама",Нана Джорджадзе,"Грузия, Франция, Германия, Россия",2000,tt0246405,
27 свадеб,романтическая комедия,Энн Флетчер,США,2008,tt0988595,
25-й час,"криминальный фильм, драма",Спайк Ли,США,2002,tt0307901,
25 ватт,Комедийная драма,Хуан Пабло Ребелья,Уругвай,2001,tt0280381,
24 часа из жизни женщины,комедия,Нэнси Савока,США,1999,tt0138279,
24 часа,триллер,Луис Мандоки,"США, Германия",2002,tt0280380,
24 часа,"боевик, драма",Александр Атанесян,Россия,2000,tt0260671,
24 часа: Искупление,"боевик, драматический фильм, Музыка к фильму",Джон Кассар,ЮАР,,tt0813980,
24-25 не возвращается,"детективный фильм, драма","Алоиз Бренч, Ростислав Горяев",СССР,1968,tt0312292,
24 недели,драматический фильм,Анна Зора Берашед,Германия,"22 сентября, 2016, 13 октября, 2016, 2016",tt5369484,
2012: Ледниковый период,"научно-фантастический, фильм-катастрофа",Трэвис Форт,США,2011,tt1846444,
2019: После падения Нью-Йорка,"боевик, фильм ужасов, фантастика, постапокалиптика",Сержо Мартино,"Франция, Италия",1983,tt0085125,
2001 маньяк,комедия ужасов,Тим Салливан,США,2005,tt0264323,
Аванти!,комедия,Билли Уайлдер,"США, Италия",1972,tt0068240,
