title,genre,director,country,year,imdb_id,imdb_rating
5 причин не влюбиться в казаха,комедийный фильм,Аскар Узабаев,Казахстан,2017,,-
,,,,,,-
5 недель,трагикомедия,Александр Андреев,Россия,2021,tt15436686,4.7
5 неизвестных,триллер,Симон Бранд,США,2006,tt0450340,6.4
6 дней,"боевик, триллер",Тоа Фрейзер,"Великобритания, Новая Зеландия",2017,tt4703048,6.2
5×2,"мелодрама, драма",Франсуа Озон,Франция,2004,tt0354356,6.6
5-я волна,"постапокалиптика, научная фантастика",Дж. Блэйксон,США,2016,tt2304933,5.2
4:44. Последний день на Земле,"драма, фантастика",Абель Феррара,США,2011,tt1707391,4.6
5 терапия,"драма, триллер, биография",Алиса Павловская,Украина,2017,tt7607276,7.4
6-й день,киберпанк,Роджер Споттисвуд,США,2000,tt0216216,5.9
4.3.2.1,"триллер, электро-хаус, соул, R’n’B, хип-хоп, грайм",Ноэль Кларк,Великобритания,2010,tt1514041,5.8
5 разбитых камер,документальный фильм,"Эмад Бурнат, Гай Давиди","Израиль, ПНА, Франция, Нидерланды",2011,tt2125423,7.9
4 маленькие девочки,Исторический документальный,Спайк Ли,США,1997,tt0118540,7.8
4:0 в пользу Танечки,комедия,Радомир Василевский,СССР,1982,tt0083512,6.9
4 x 4,"драма, комедия","Рольф Клеменс, Палле Кьерулф-Шмидт, Мауну Куркваара",Финляндия,1965,tt0058864,6.9
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,Румыния,2007,tt1032846,7.9
4 листа фанеры,детектив,"Иван Гаврилюк, Сайдо Курбанов",Украина,1992,tt6571730,5.1
4 американских композитора,"документальный, музыкальный",Питер Гринуэй,Великобритания,1983,tt0085562,7.4
5 дней в августе,"военный, боевик, пропагандистский фильм",Ренни Харлин,"США, Грузия",2011,tt1486193,5.5
4 дня в мае,"военная, драма, боевик",Ахим фон Боррис,"Германия, Украина, Россия",2011,tt1699202,6.4
Четыре,драма,Илья Хржановский,"Россия, Нидерланды",2004,tt0445161,6.5
3: История Дейла Эрнхардта,"биографическая, спортивная, драма",Рассел Малкэхи,США,,tt0401088,6.7
3 ночи в пустыне,драма,Гэбриэль Коуэн,США,2014,tt2123884,4.5
2:37,драматический фильм,Мулари К. Теллури,Австралия,2006,tt0472582,6.8
3 идиота,"комедия, драма",Раджкумар Хирани,Индия,2009,tt1187043,8.4
2pac: Легенда,"байопик, драма, боевик",Бенни Бум,США,2017,tt1666185,5.9
2+1,Музыка к фильму,Юго Желен,"Франция, Великобритания",2016,tt5078204,7.3
2 секунды,комедия,Манон Брайан,Канада,1998,tt0158446,6.6
2 Girls 1 Cup,"порнофильм, ЛГБТ-фильм",Марко Фиорито,Бразилия,"5 января, 2007",tt1765847,4.3
2:22,триллер,Пол Карри,"США, Австралия",2017,tt1131724,5.7
42 / Номер 42,"драма, спортивный фильм",Брайан Хелгеленд,США,"12 апреля, 2013, 8 августа, 2013",tt0453562,7.5
2-Асса-2,драма,Сергей Соловьёв,Россия,2008,tt2719860,4.6
42-я улица,"комедия, мюзикл, мелодрама","Ллойд Бэкон, Басби Беркли",США,1933,tt0024034,7.3
2 дурня в снегу,комедия,Жан-Луи Гийерму,Франция,1977,tt0417603,3.4
40,"детектив, триллер",Александр Галибин,Россия,2007,tt13374330,5.8
39-я бригада,"исторический фильм, военный, экранизация",Карой Макк,Венгрия,1959,tt0052531,6.7
38-я параллель,"драма, боевик, военный",Кан Джегю,Республика Корея,2004,tt0386064,8.0
40 дней и 40 ночей,кинокомедия,Майкл Леманн,США,2002,tt0243736,5.6
40-я дверь,драма,Эльчин Мусаоглу,Азербайджан,2009,tt1441366,7.9
36 безумных кулаков,"боевик, комедия",Чэнь Чжихуа,Гонконг,1977,tt0076661,5.0
34-й скорый,"Фильм-катастрофа, приключенческий фильм, драма",Андрей Малюков,СССР,1981,tt0081967,6.2
,"драма, мелодрама",Дени Вильнёв,Канада,1998,tt0156248,6.5
33,драма,Патрисия Ригген,"США, Чили, Колумбия",2015,tt2006295,6.9
